Traceback (most recent call last):
  File "/public/home/cadd1/anaconda3/envs/dti/lib/python3.8/site-packages/rdkit/ML/Descriptors/MoleculeDescriptors.py", line 88, in CalcDescriptors
    res[i] = fn(mol)
  File "/public/home/cadd1/anaconda3/envs/dti/lib/python3.8/site-packages/rdkit/Chem/QED.py", line 286, in qed
    qedProperties = properties(mol)
  File "/public/home/cadd1/anaconda3/envs/dti/lib/python3.8/site-packages/rdkit/Chem/QED.py", line 249, in properties
    mol = Chem.RemoveHs(mol)
rdkit.Chem.rdchem.MolSanitizeException: Explicit valence for atom # 19 N, 4, is greater than permitted
599595
0 10.602012 2.599519
1 2.6935625 2.4463105
2 2.5674198 2.348652
3 2.4587436 2.2570593
4 2.3764524 2.1898637
5 2.3319476 2.1381023
6 2.2676158 2.0995345
7 2.2137625 2.0736668
8 2.1774347 2.027152
9 2.1386058 1.9958311
10 2.1054246 1.9832126
11 2.0723274 1.9512392
12 2.0165539 1.9386109
13 1.9687612 1.9078552
14 1.9448093 1.8967525
15 1.9312665 1.8780235
16 1.9193606 1.8741987
17 1.8740525 1.8532734
18 1.8625611 1.8444724
19 1.8149623 1.84519
20 1.8202229 1.8350484
21 1.7681036 1.8075515
22 1.7560879 1.825052
23 1.7452363 1.7983134
24 1.7196655 1.7826985
25 1.7137935 1.7886287
26 1.6859317 1.7803445
27 1.6762516 1.7543646
28 1.6514167 1.7468653
29 1.6131287 1.7591491
30 1.623515 1.7397656
31 1.6000385 1.7336034
32 1.5790886 1.7211304
33 1.5802546 1.7253425
34 1.5425025 1.7296991
35 1.5402026 1.7246585
36 1.5253425 1.7139441
37 1.5021055 1.710964
38 1.4966265 1.7417104
39 1.4722928 1.7023581
40 1.4521948 1.7043921
41 1.4665209 1.706572
42 1.4324076 1.696383
43 1.4142134 1.6912838
44 1.4034237 1.6828803
45 1.3858267 1.6825399
46 1.3919433 1.6984541
47 1.3648798 1.7162334
48 1.3620151 1.6825823
49 1.3423756 1.6806957
50 1.3372322 1.6718826
51 1.3229117 1.6826102
52 1.3229252 1.6763663
53 1.2845452 1.6756102
54 1.2952849 1.6713964
55 1.2721549 1.6783477
56 1.2589893 1.6673189
57 1.231252 1.6738703
58 1.2351608 1.672337
59 1.2214141 1.6639119
60 1.2383049 1.6658173
61 1.2201368 1.6689125
62 1.1958197 1.6601453
63 1.1842815 1.6671388
64 1.1709898 1.6570109
65 1.1635524 1.6669948
66 1.1480474 1.6604445
67 1.150092 1.66122
68 1.1340544 1.6598213
69 1.1400249 1.6563101
70 1.116257 1.6860282
71 1.1072133 1.6600742
72 1.081901 1.6626241
73 1.088892 1.6540016
74 1.0745641 1.6483366
75 1.0756992 1.6696111
76 1.0605141 1.6598195
77 1.0563849 1.6660866
78 1.0339605 1.6566012
79 1.0356854 1.662751
80 1.02564 1.6541437
